stockSymbol,stockName,dailyClose,volatility,avgVolume
ALGN,"Align Technology,...",142.23,61.122,"1,047,392"
ALGR,Allegro Merger Corp.,10.71,4.194,"113,014"
ALGRR,Allegro Merger Co...,0.1,164.183,"36,388"
ALGRU,Allegro Merger Co...,10.57,5.986,"3,846"
ALGT,Allegiant Travel ...,72.5,78.275,"259,664"
ALIM,"Alimera Sciences,...",3.69,97.058,"47,803"
ALJJ,ALJ Regional Hold...,0.61,57.243,"25,826"
ALK,"Alaska Air Group,...",24.18,99.139,"2,059,549"
ALKS,Alkermes plc,14.26,60.684,"2,002,872"
ALL,Allstate Corporat...,74.69,56.904,"2,021,118"
ALLE,Allegion plc,94.16,35.645,"853,477"
ALLK,Allakos Inc.,59.31,38.027,"409,966"
ALLO,Allogene Therapeu...,20.29,52.487,"676,210"
ALLT,Allot Communicati...,7.44,59.707,"215,441"
ALLY,Ally Financial Inc.,12.88,83.114,"5,510,946"
ALNA,Allena Pharmaceut...,0.95,145.898,"276,423"
ALNY,Alnylam Pharmaceu...,105.97,32.071,"783,210"
ALO,Alio Gold Inc.,0.4,86.724,"210,241"
ALOT,"Astro-Med, Inc.",8.4,52.935,"34,074"
ALPN,Alpine Immune Sci...,2.24,45.86,"22,796"
ALRM,Alarm.com Holding...,40.27,49.506,"559,797"
ALRN,Aileron Therapeut...,0.37,105.104,"249,664"
ALRS,Alerus Financial ...,16.08,43.038,"30,870"
ALSK,Alaska Communicat...,1.6,39.618,"171,350"
ALSN,Allison Transmiss...,32.04,44.755,"1,271,550"
ALT,"Altimmune, Inc.",2.85,94.941,"1,418,039"
ALTG,Alta Equipment Gr...,3.75,108.507,"518,974"
ALTM,Altus Midstream C...,0.95,91.08,"595,977"
ALTR,Altair Engineerin...,27.94,41.352,"389,801"
ALUS,Alussa Energy Acq...,9.26,9.038,"148,244"
ALV,"Autoliv, Inc.",41.93,61.443,"745,926"
ALX,"Alexander's, Inc.",259.07,26.573,"13,016"
ALXN,Alexion Pharmaceu...,83.5,33.752,"2,493,990"
ALYA,Alithya Group Inc.,1.61,75.652,"8,843"
AM,Antero Midstream ...,2.09,88.518,"7,647,226"
AMAG,AMAG Pharmaceutic...,5.21,74.458,"862,719"
AMAL,Amalgamated Bank,10.11,80.994,"94,555"
AMAT,Applied Materials...,40.19,56.162,"9,571,770"
AMBA,"Ambarella, Inc.",41.21,73.621,"694,941"
AMBC,Ambac Financial G...,12.62,72.874,"302,385"
AMBO,Ambow Education H...,1.44,85.419,"9,843"
AMC,AMC Entertainment...,3.37,133.41,"3,840,161"
AMCI,AMCI Acquisition ...,9.88,3.205,"173,239"
AMCIU,AMCI Acquisition ...,9.96,6.391,"11,944"
AMCR,Amcor plc,7.43,65.406,"10,729,138"
AMCX,AMC Networks Inc.,27.93,37.649,"838,083"
AMD,Advanced Micro De...,39.82,33.871,"72,148,645"
AME,"AMETEK, Inc.",69.01,53.081,"1,782,136"
AMED,Amedisys Inc,184.15,32.011,"255,321"
AMEH,Apollo Medical Ho...,11.99,70.111,"63,991"
AMG,Affiliated Manage...,55.33,65.167,"758,183"
AMGN,Amgen Inc.,198.76,18.374,"3,104,490"
AMH,American Homes 4 ...,20.78,33.384,"2,723,851"
AMHC,Amplitude Healthc...,9.5,4.005,"116,105"
AMHCU,Amplitude Healthc...,9.7,7.252,"46,682"
AMK,AssetMark Financi...,17.6,74.789,"104,389"
AMKR,"Amkor Technology,...",6.48,71.617,"1,570,976"
AMN,AMN Healthcare Se...,68.13,21.15,"454,881"
AMNB,American National...,24.46,54.472,"23,202"
AMOT,Allied Motion Tec...,20,87.391,"44,031"
AMOV,"America Movil, S....",12.4,50.15,"5,391"
AMP,Ameriprise Financ...,95.43,82.045,"981,192"
AMPE,Ampio Pharmaceuti...,0.47,55.303,"951,920"
AMPH,Amphastar Pharmac...,13.35,39.297,"248,833"
AMPY,Amplify Energy Corp.,0.91,253.758,"358,616"
AMRB,American River Ba...,8.92,67.847,"5,612"
AMRC,"Ameresco, Inc.",16.26,61.012,"258,024"
AMRH,"Ameri Holdings, Inc.",0.65,71.941,"67,969"
AMRK,A-Mark Precious M...,9.02,8.506,"8,207"
AMRN,Amarin Corporatio...,11.53,67.823,"8,067,844"
AMRS,"Amyris, Inc.",2.39,81.96,"2,429,155"
AMRX,Amneal Pharmaceut...,3.19,71.31,"1,618,930"
AMS,American Shared H...,1.28,81.849,"10,081"
AMSC,American Supercon...,4.72,66.852,"277,859"
AMSF,"AMERISAFE, Inc.",59.54,44.363,"98,813"
AMSWA,American Software...,11,69.777,"131,247"
AMT,American Tower Co...,209,22.98,"2,251,646"
AMTB,Mercantil Bank Ho...,14.47,59.036,"40,191"
AMTBB,Mercantil Bank Ho...,9.69,66.007,"3,968"
AMTX,"Aemetis, Inc",0.42,76.678,"59,388"
AMWD,American Woodmark...,47.79,111.037,"103,422"
AMX,"America Movil, S....",12.65,45.625,"3,563,443"
AMZN,"Amazon.com, Inc.",1880.93,20.898,"5,359,321"
AN,"AutoNation, Inc.",26.1,76.923,"873,496"
ANAB,"AnaptysBio, Inc.",13.43,44.235,"600,760"
ANAT,American National...,68.67,58.701,"40,050"
ANCN,Anchiano Therapeu...,0.61,90.153,"33,701"
ANDA,Andina Acquisitio...,9.9,3.585,"40,995"
ANDAR,Andina Acquisitio...,0.12,64.905,"8,846"
ANDAU,Andina Acquisitio...,10.01,6.707,"3,558"
ANDE,"The Andersons, Inc.",16.75,31.453,"183,465"
ANET,"Arista Networks, ...",177.88,34.368,"917,586"
ANF,Abercrombie & Fit...,9.13,71.409,"2,703,041"
ANGO,"AngioDynamics, Inc.",8.85,48.899,"281,042"
ANH,Anworth Mortgage ...,1.34,114.365,"867,727"
ANIK,Anika Therapeutic...,25.46,75.549,"218,664"
ANIP,ANI Pharmaceutica...,41.98,74.983,"97,436"
ANIX,Anixa Biosciences...,1.85,85.594,"72,350"
ANPC,AnPac Bio-Medical...,7.3,40.485,"15,492"
ANSS,"ANSYS, Inc.",221.09,36.015,"710,658"
ANTE,AirNet Technology...,0.73,44.672,"69,028"
ANTM,"Anthem, Inc.",200.87,39.812,"2,178,141"
ANVS,"Annovis Bio, Inc.",2.66,80.345,"132,796"
ANY,Sphere 3D Corp,0.52,95.453,"114,322"
AOBC,American Outdoor ...,8.36,75.153,"1,120,395"
AON,Aon plc,151.08,51.784,"1,525,390"
AOS,A.O. Smith Corpor...,36.85,17.571,"2,555,918"
AOSL,Alpha and Omega S...,6.28,61.689,"140,447"
AP,Ampco-Pittsburgh ...,2.17,39.204,"30,883"
APA,Apache Corporation,4.95,215.951,"7,718,471"
APAM,Artisan Partners ...,21.6,71.201,"593,262"
APD,Air Products and ...,191.04,35.867,"1,374,572"
APDN,Applied DNA Scien...,5.5,93.455,"744,492"
APEI,American Public E...,24.2,28.442,"81,457"
APEN,Apollo Endosurger...,2.4,81.402,"10,867"
APEX,Apex Global Brand...,0.35,107.375,"358,599"
APH,Amphenol Corporation,68.76,49.282,"1,731,694"
APHA,Aphria Inc.,2.36,86.569,"6,281,378"
APLE,Apple Hospitality...,5.4,110,"2,806,782"
APLS,Apellis Pharmaceu...,22.9,83.156,"1,317,135"
APLT,Applied Therapeut...,25.19,92.657,"265,869"
APM,Aptorum Group Lim...,2.49,285.866,"27,449"
APO,Apollo Global Man...,29.89,58.46,"2,816,540"
APOG,Apogee Enterprise...,15.41,96.784,"209,655"
APOP,Cellect Biotechno...,1.54,100.819,"418,472"
