"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"NSANY.Close",17.2846980173222,2019,14.3424603293651,"down10",2,NA,2,1
"NSANY.Close",17.2846980173222,2020,11.3404761904762,"down10",2,NA,2,1
"NUS.Close",52.0492748184326,2015,46.1096030992063,"",2,2,NA,1
"NUS.Close",52.0492748184326,2016,46.5176189880952,"up",2,2,NA,1
"NUS.Close",52.0492748184326,2017,58.6671712589641,"up10",2,2,NA,1
"NUS.Close",52.0492748184326,2018,73.8764142111554,"up10",2,2,NA,1
"NUS.Close",52.0492748184326,2019,48.4029365436508,"down10",2,2,NA,1
"NUS.Close",52.0492748184326,2020,38.7219048095238,"down10",2,2,NA,1
"ONCY.Close",3.68625059286663,2015,5.32150793650794,"",2,3,NA,NA
"ONCY.Close",3.68625059286663,2016,2.95517857142857,"down10",2,3,NA,NA
"ONCY.Close",3.68625059286663,2017,4.229203187251,"up10",2,3,NA,NA
"ONCY.Close",3.68625059286663,2018,4.74169322709163,"up10",2,3,NA,NA
"ONCY.Close",3.68625059286663,2019,1.48944444444444,"down10",2,3,NA,NA
"ONCY.Close",3.68625059286663,2020,3.38047619047619,"up10",2,3,NA,NA
"PCG.Close",40.9263597885073,2015,52.8376984206349,"",3,1,NA,1
"PCG.Close",40.9263597885073,2016,59.8014285595238,"up10",3,1,NA,1
"PCG.Close",40.9263597885073,2017,63.91199212749,"up",3,1,NA,1
"PCG.Close",40.9263597885073,2018,41.5239840956175,"down10",3,1,NA,1
"PCG.Close",40.9263597885073,2019,14.9673412420635,"down10",3,1,NA,1
"PCG.Close",40.9263597885073,2020,12.5157142857143,"down10",3,1,NA,1
"ROST.Close",79.8764150829565,2015,50.4961111746032,"",NA,4,NA,1
"ROST.Close",79.8764150829565,2016,59.5187301904762,"up10",NA,4,NA,1
"ROST.Close",79.8764150829565,2017,64.1682072310757,"up",NA,4,NA,1
"ROST.Close",79.8764150829565,2018,85.8211951992032,"up10",NA,4,NA,1
"ROST.Close",79.8764150829565,2019,101.94472222619,"up10",NA,4,NA,1
"ROST.Close",79.8764150829565,2020,117.30952447619,"up10",NA,4,NA,1
"RRGB.Close",50.662259620871,2015,79.3992063571429,"",3,NA,NA,2
"RRGB.Close",50.662259620871,2016,54.6440872103175,"down10",3,NA,NA,2
"RRGB.Close",50.662259620871,2017,58.0271314223108,"up",3,NA,NA,2
"RRGB.Close",50.662259620871,2018,47.0994423346614,"down10",3,NA,NA,2
"RRGB.Close",50.662259620871,2019,30.9803571626984,"down10",3,NA,NA,2
"RRGB.Close",50.662259620871,2020,33.8233332380952,"up",3,NA,NA,2
"S.Close",5.72459165981576,2015,4.45849206349206,"",2,3,NA,NA
"S.Close",5.72459165981576,2016,5.06992063492063,"up10",2,3,NA,NA
"S.Close",5.72459165981576,2017,7.89836653386454,"up10",2,3,NA,NA
"S.Close",5.72459165981576,2018,5.71422310756972,"down10",2,3,NA,NA
"S.Close",5.72459165981576,2019,6.31607142857143,"up10",2,3,NA,NA
"S.Close",5.72459165981576,2020,4.89047619047619,"down10",2,3,NA,NA
"SCE.PB.Close",690.844964059107,2015,629.873015873016,"",1,3,NA,1
"SCE.PB.Close",690.844964059107,2016,796.095238095238,"up10",1,3,NA,1
"SCE.PB.Close",690.844964059107,2017,824.888446215139,"up",1,3,NA,1
"SCE.PB.Close",690.844964059107,2018,393.697211155379,"down10",1,3,NA,1
"SCE.PB.Close",690.844964059107,2019,607.515873015873,"up10",1,3,NA,1
"SCE.PB.Close",690.844964059107,2020,893,"up10",1,3,NA,1
"SIG.Close",64.5447094476723,2015,130.46436493254,"",4,1,NA,NA
"SIG.Close",64.5447094476723,2016,96.7517859166667,"down10",4,1,NA,NA
"SIG.Close",64.5447094476723,2017,64.6477687689243,"down10",4,1,NA,NA
"SIG.Close",64.5447094476723,2018,51.3829481115538,"down10",4,1,NA,NA
"SIG.Close",64.5447094476723,2019,20.5451983373016,"down10",4,1,NA,NA
"SIG.Close",64.5447094476723,2020,23.4761906190476,"up10",4,1,NA,NA
"T.Close",36.2243727055034,2015,33.8040475793651,"",1,2,1,1
"T.Close",36.2243727055034,2016,39.2782144047619,"up10",1,2,1,1
"T.Close",36.2243727055034,2017,38.5963744541833,"down",1,2,1,1
"T.Close",36.2243727055034,2018,33.3051792669323,"down10",1,2,1,1
"T.Close",36.2243727055034,2019,33.9290873373016,"up",1,2,1,1
"T.Close",36.2243727055034,2020,38.4333331904762,"up10",1,2,1,1
"TEVA.Close",30.0819310392135,2015,61.657817531746,"",5,NA,NA,NA
"TEVA.Close",30.0819310392135,2016,50.9552778928571,"down10",5,NA,NA,NA
"TEVA.Close",30.0819310392135,2017,25.6220717290837,"down10",5,NA,NA,NA
"TEVA.Close",30.0819310392135,2018,20.917609561753,"down10",5,NA,NA,NA
"TEVA.Close",30.0819310392135,2019,11.4964285674603,"down10",5,NA,NA,NA
"TEVA.Close",30.0819310392135,2020,9.84238095238095,"down10",5,NA,NA,NA
"TGT.Close",82.904471348242,2015,78.1561112896825,"",1,3,1,NA
"TGT.Close",82.904471348242,2016,73.5250793174603,"down",1,3,1,NA
"TGT.Close",82.904471348242,2017,58.296294876494,"down10",1,3,1,NA
"TGT.Close",82.904471348242,2018,76.6442626653386,"up10",1,3,1,NA
