"Year","Annual_UE","stock","stockInfo","stockExchange","stock5yrMeans","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs","YearMeanGreaterThan5yrMean"
2017,4.34,"C","Citigroup Inc. (C)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",63.6453837411413,65.6995218525896,"up10",1,2,1,1,1
2017,4.34,"AMZN","Amazon.com, Inc. (AMZN)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",1243.49690606713,968.167011645418,"up10",0,3,0,2,0
2017,4.34,"AAP","Advance Auto Parts, Inc. (AAP)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",147.886972418024,122.574860701195,"down10",1,2,2,0,0
2017,4.34,"HMC","Honda Motor Co., Ltd. (HMC)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",29.4053807895323,29.9091633944223,"up",2,0,0,3,1
2017,4.34,"HRB","H&R Block, Inc. (HRB)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",26.6604071315505,25.9171314860558,"up",1,0,2,2,0
2017,4.34,"INO","Inovio Pharmaceuticals, Inc. (INO)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",5.63565154725015,6.28175298804781,"down10",3,1,0,1,1
2017,4.34,"TGT","Target Corporation (TGT)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",82.904471348242,58.296294876494,"down10",1,3,1,0,0
2017,4.34,"KGJI","Kingold Jewelry, Inc. (KGJI)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",1.31737697358713,1.68609561752988,"up",2,2,0,1,1
2017,4.34,"M","Macy's, Inc. (M)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",32.1473374649945,25.0884064103586,"down10",4,1,0,0,0
2017,4.34,"JPM","JPMorgan Chase & Co. (JPM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",97.0635266907344,92.0094818366534,"up10",0,3,0,2,0
2017,4.34,"FFIN","First Financial Bankshares, Inc. (FFIN)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",24.4529351617314,21.2730079521912,"up10",0,4,0,1,0
2017,4.34,"HOFT","Hooker Furniture Corporation (HOFT)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",29.9153385082237,41.0180478286853,"up10",1,2,2,0,1
2017,4.34,"NFLX","Netflix, Inc. (NFLX)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",224.382641734833,165.374263059761,"up10",0,3,0,2,0
2017,4.34,"MGM","MGM Resorts International (MGM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",27.7943314907776,30.7705577450199,"up10",0,3,2,0,1
2017,4.34,"WM","Waste Management, Inc. (WM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",83.9403728867572,75.4068524342629,"up10",0,4,0,1,0
2017,4.34,"JNJ","Johnson & Johnson (JNJ)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",126.401366391582,129.760517884462,"up10",0,2,0,3,1
2017,4.34,"ARWR","Arrowhead Pharmaceuticals, Inc. (ARWR)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",17.9777560280861,2.42637450199203,"down10",2,3,0,0,0
2017,4.34,"NKE","NIKE, Inc. (NKE)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",71.4152645031725,55.7060160119522,"down",0,3,1,1,0
2017,4.34,"RRGB","Red Robin Gourmet Burgers, Inc. (RRGB)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",50.662259620871,58.0271314223108,"up",3,0,0,2,1
2017,4.34,"XOM","Exxon Mobil Corporation (XOM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",78.7369955725405,81.8615937091633,"down",0,0,4,1,1
2017,4.34,"AAL","American Airlines Group Inc. (AAL)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",38.6737054883561,47.4907172151394,"up10",3,1,1,0,1
2017,4.34,"TJX","The TJX Companies, Inc. (TJX)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",45.2872698382159,37.0224502749004,"down",0,3,1,1,0
2017,4.34,"ONCY","Oncolytics Biotech Inc. (ONCY)
NasdaqCM - NasdaqCM Real Time Price. Currency in USD","Nasdaq",3.68625059286663,4.229203187251,"up10",2,3,0,0,1
2017,4.34,"MSFT","Microsoft Corporation (MSFT)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",94.8954482158456,71.9840242310757,"up10",0,5,0,0,0
2017,4.34,"T","AT&T Inc. (T)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",36.2243727055034,38.5963744541833,"down",1,2,1,1,1
